time, ID, MOSI, CMD, MISO, STATE
0.68519536,34,0x28|0x00|0x00|0x00|0x00,CMD :W_REGISTER - 0x08-OBSERVE_TX,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.685365,35,0x29|0x00|0x00|0x00|0x00,CMD :W_REGISTER - 0x09-CD,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.6855438,36,0x2A|0x00|0x00|0x00|0x00,CMD :W_REGISTER - 0x0A-RX_ADDR_P0,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68572252,37,0x2B|0x00|0x00|0x00|0x00,CMD :W_REGISTER - 0x0B-RX_ADDR_P1,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68590132,38,0x2C|0x00|0x12|0x73|0x00,CMD :W_REGISTER - 0x0C-RX_ADDR_P2,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68607096,39,0x2D|0x46|0xB4|0x80|0x00,CMD :W_REGISTER - 0x0D-RX_ADDR_P3,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68624672,40,0x2E|0x41|0x10|0x04|0x82|0x20|0x08|0x08|0xF2|0x7D|0xEF|0xFF,CMD :W_REGISTER - 0x0E-RX_ADDR_P4,0x8E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.6866638,41,0x24|0xC7|0x96|0x9A|0x1B,CMD :W_REGISTER - 0x04-SETUP_RETR,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.68683292,42,0x24|0xC1|0x96|0x9A|0x1B,CMD :W_REGISTER - 0x04-SETUP_RETR,0x8E|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.73992764,43,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x8E|0x8E,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.73998508,44,0x50|0x53,CMD :ACTIVATE,0x8E|0x00,STATE : RX_P_NO - RX FIFO Empty | REG_BANK - 1
0.74003932,45,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
0.74009284,46,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
0.74014744,47,0x27|0x0E,CMD :W_REGISTER - 0x07-STATUS,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.74020844,48,0x00|0x00,CMD :R_REGISTER - 0x00-CONFIG,0x0E|0x0C,STATE : RX_P_NO - RX FIFO Empty
0.74026304,49,0x20|0x0C,CMD :W_REGISTER - 0x00-CONFIG,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.7403162,50,0x20|0x0C,CMD :W_REGISTER - 0x00-CONFIG,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.74036936,51,0x20|0x0E,CMD :W_REGISTER - 0x00-CONFIG,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
0.74347628,52,0xA0|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.57715204,53,0xA0|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,CMD :W_TX_PAYLOAD,0x2E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.57784112,54,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.57789768,55,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.57796404,56,0x25|0x27,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.57802576,57,0xE1|0x00,CMD :FLUSH_TX,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.578083,58,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x2E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.58171008,59,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.58177572,60,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.58184068,61,0x25|0x27,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.58189332,62,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.58194952,63,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.58567732,64,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.58573384,65,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.58580932,66,0x25|0x1B,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.58586192,67,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.58591812,68,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.5906214,69,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.59068632,70,0x25|0x1B,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.59073896,71,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.59080424,72,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.59372684,73,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.59379248,74,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.59385884,75,0x25|0x39,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.59391148,76,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.59396768,77,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.59766196,78,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.59771852,79,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.59779256,80,0x25|0x39,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.5978452,81,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.5979014,82,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.6017458,83,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.60181144,84,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.6018778,85,0x25|0x28,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.6019304,86,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.6019866,87,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.60566812,88,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.60572464,89,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.60579864,90,0x25|0x28,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.60585124,91,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.60590744,92,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.60964488,93,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.60970144,94,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.60977688,95,0x25|0x24,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.60982952,96,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.60988572,97,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.61372732,98,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.61380136,99,0x25|0x24,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.61385396,100,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.61391016,101,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.61777052,102,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.61782704,103,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.6178934,104,0x25|0x22,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.61794604,105,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.6180022,106,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.62167112,107,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.62172764,108,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.62180168,109,0x25|0x22,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.62185432,110,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.62191052,111,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.62564824,112,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.62570476,113,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.62578024,114,0x25|0x2E,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.62583284,115,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.62588904,116,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.63065684,117,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.63072176,118,0x25|0x2E,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.63078348,119,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.63083968,120,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.63367192,121,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.63372844,122,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.63380388,123,0x25|0x36,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.63385652,124,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.63391268,125,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.63766272,126,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.63771928,127,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.63779328,128,0x25|0x36,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.63784592,129,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.63790208,130,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.64171656,131,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.6417822,132,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.64184856,133,0x25|0x19,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.6419012,134,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.6419574,135,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.64569348,136,0x07|0x00,CMD :R_REGISTER - 0x07-STATUS,0x2E|0x2E,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.64575004,137,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.64582408,138,0x25|0x19,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
3.64587672,139,0xE1|0x00,CMD :FLUSH_TX,0x0E|0x0E,STATE : RX_P_NO - RX FIFO Empty
3.64593288,140,0xA0|0x00|0x00|0x00|0x00|0x40|0x40|0x40|0xE0|0xB4|0x6E|0x00|0x00|0x00|0x00|0xD0|0x92,CMD :W_TX_PAYLOAD,0x0E|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00|0x00,STATE : RX_P_NO - RX FIFO Empty
3.65062212,141,0x27|0x2E,CMD :W_REGISTER - 0x07-STATUS,0x2E|0x00,STATE : RX_P_NO - RX FIFO Empty | TX_DS - Data Sent TX FIFO interrupt
3.65068848,142,0x25|0x21,CMD :W_REGISTER - 0x05-RF_CH,0x0E|0x00,STATE : RX_P_NO - RX FIFO Empty
